Year,Lat,Long,Source
2016,37.743691634958,-122.404896376690,311
2015,37.743691634958,-122.404896376690,311
2015,37.743794434049,-122.403243432141,311
2015,37.743794434049,-122.403243432141,311
2015,37.743812748735,-122.420784436206,311
2015,37.743832427000,-122.405312670000,311
2015,37.743883456730,-122.383118297614,311
2015,37.743988558943,-122.413212372312,311
2015,37.744075933269,-122.406034283113,311
2016,37.744108334000,-122.507165808000,311
2016,37.744108334000,-122.507165808000,311
2014,37.744118786261,-122.411924899700,311
2014,37.744118786261,-122.411924899700,311
2014,37.744129384318,-122.507219864522,311
2015,37.744221585241,-122.421956762481,311
2013,37.744222413028,-122.414210800178,311
2015,37.744282941861,-122.421917115518,311
2015,37.744353997421,-122.406764865806,311
2015,37.744422994000,-122.419666400000,311
2015,37.744436489304,-122.399228839168,311
2015,37.744498238820,-122.396955362701,311
2016,37.744641128185,-122.404039852855,311
2015,37.744744547532,-122.398312265434,311
2016,37.744814137477,-122.421278430366,311
2016,37.744814137477,-122.421278430366,311
2015,37.744956846600,-122.421524408094,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2016,37.744987404512,-122.404413226801,311
2015,37.744987404512,-122.404413226801,311
2015,37.745048635508,-122.420454774341,311
2014,37.745062849845,-122.404463928425,311
2015,37.745156012476,-122.403946659561,311
2013,37.745168752071,-122.402719041363,311
2016,37.745298391111,-122.389193352335,311
2014,37.745578765822,-122.422218448018,311
2015,37.745578765822,-122.422218448018,311
2016,37.745761686860,-122.420666120976,311
2015,37.745761686860,-122.420666120976,311
2014,37.745825693352,-122.450852895996,311
2014,37.745825693352,-122.450852895996,311
2016,37.745834295732,-122.420914638625,311
2013,37.745844745369,-122.393489511414,311
2014,37.745844745369,-122.393489511414,311
2014,37.745844745369,-122.393489511414,311
2015,37.745844745369,-122.393489511414,311
2015,37.745844745369,-122.393489511414,311
2015,37.745920419810,-122.420858985109,311
2015,37.746064847000,-122.404344228000,311
2015,37.746064847000,-122.404344228000,311
2015,37.746064847000,-122.404344228000,311
2015,37.746098807797,-122.426891282707,311
2015,37.746098807797,-122.426891282707,311
2015,37.746098807797,-122.426891282707,311
2015,37.746098807797,-122.426891282707,311
2016,37.746138558423,-122.420718020616,311
2016,37.746138558423,-122.420718020616,311
2015,37.746157015768,-122.387174189242,311
2015,37.746157047648,-122.427606240681,311
2014,37.746215971296,-122.427101412195,311
2014,37.746333981261,-122.402697910520,311
2015,37.746333981261,-122.402697910520,311
2015,37.746361770460,-122.391056944392,311
2016,37.746363406132,-122.420669307525,311
2015,37.746406713908,-122.419788090748,311
2016,37.746454310000,-122.422853058000,311
2016,37.746474075626,-122.405214015858,311
2016,37.746491966535,-122.420357763462,311
2016,37.746491966535,-122.420357763462,311
2016,37.746491966535,-122.420357763462,311
2014,37.746575884603,-122.420130231127,311
2014,37.746798031169,-122.399883793134,311
2013,37.746811666268,-122.394507453980,311
2016,37.746886908064,-122.405273492876,311
2015,37.746896630482,-122.426968360890,311
2015,37.746896630482,-122.426968360890,311
2015,37.746896630482,-122.426968360890,311
2013,37.746922919356,-122.408439618177,311
2015,37.746940184776,-122.427932583885,311
2015,37.746975066336,-122.427495504875,311
