PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
96 OLIVER ST,96 Oliver St,NA,No,15,37.708366,-122.450125
2222 LEAVENWORth ST,2222 Leavenworth St,NA,No,15,37.801651,-122.417715
1059 LEAVENWORth ST,1059 Leavenworth St,NA,No,15,37.790982,-122.41593
844 POTRERO AV,844 Potrero Av,NA,No,15,37.75862,-122.407216
1526 VALLEJO ST,1526 Vallejo St,NA,No,15,37.797088,-122.422547
1160 FLORIDA ST,1160 Florida St,NA,No,15,37.75334,-122.410401
438 BROADWAY *,438 Broadway,NA,No,15,37.798427,-122.404647
2386 FULTON ST,2386 Fulton St,NA,No,15,37.774721,-122.456052
6 PUEBLO ST,6 Pueblo St,NA,No,15,37.709132,-122.417092
245 LEAVENWORth ST,245 Leavenworth St,NA,No,15,37.783374,-122.414463
857 COLBY ST,857 Colby St,NA,No,15,37.719891,-122.409904
1583 OAKDALE AV,1583 Oakdale Av,NA,No,15,37.734207,-122.390189
1705 OCTAVIA ST,1705 Octavia St,NA,No,15,37.78812,-122.427227
271 WALLER ST,271 Waller St,NA,No,15,37.771167,-122.428064
1025 POWELL ST,1025 Powell St,NA,No,15,37.794221,-122.409842
1034 PACIFIC AV,1034 Pacific Av,NA,No,15,37.796382,-122.412374
1106 BUSH ST,1106 Bush St,NA,No,15,37.789472,-122.415674
605 JONES ST,605 Jones St,NA,No,15,37.786916,-122.413431
229 2ND AV,229 2Nd Av,NA,No,15,37.784368,-122.460553
2474 BROADWAY *,2474 Broadway,NA,No,14,37.794078,-122.437867
3241 23rd ST,3241 23rd St,NA,No,14,37.753773,-122.417265
935 PINE ST,935 Pine St,NA,No,14,37.790519,-122.411215
4834 MISSION ST,4834 Mission St,NA,No,14,37.720783,-122.438261
1559 OAKDALE AV,1559 Oakdale Av,NA,No,14,37.733959,-122.38975
1271 20th AV,1271 20th Av,NA,No,14,37.764059,-122.478563
36 WENTWORth ST,36 Wentworth St,NA,No,14,37.795534,-122.405947
47 ALPHA ST,47 Alpha St,NA,No,14,37.715055,-122.402769
939 NOE ST,939 Noe St,NA,No,14,37.754083,-122.431801
3455 FILLMORE ST,3455 Fillmore St,NA,No,14,37.801536,-122.436858
4523 MISSION ST,4523 Mission St,NA,No,14,37.725725,-122.433676
56 LAURA ST,56 Laura St,NA,No,14,37.710361,-122.45066
878 UNION ST,878 Union St,NA,No,14,37.800072,-122.413732
